,501082 NAV
2021-08-04 17:53:52.866420,2.3708
2021-08-04 17:53:54.591288,2.3708
2021-08-04 17:53:55.931569,2.3708
2021-08-04 17:53:57.368778,2.3708
2021-08-04 17:53:58.086343,2.3708
2021-08-04 17:53:58.665078,2.3708
2021-08-04 17:53:59.927023,2.3708
2021-08-04 17:54:01.291787,2.3708
2021-08-04 17:54:02.353033,2.3708
