,160325 NAV
2021-08-05 10:07:25.666204,1.3333
2021-08-05 10:07:28.628204,1.3333
2021-08-05 10:07:31.363204,1.3333
2021-08-05 10:07:34.081204,1.3333
2021-08-05 10:07:36.815204,1.3333
