,161040 NAV
2021-08-05 10:07:26.082204,1.5132
2021-08-05 10:07:28.967204,1.5132
2021-08-05 10:07:31.703204,1.5132
2021-08-05 10:07:34.421204,1.5132
2021-08-05 10:07:37.160204,1.5132
